,location,size,total_sqft,bath,price,bhk
10598,Banashankari Stage VI,8 Bedroom,1200.0,7.0,175.0,8
10599,Banashankari,2 BHK,1450.0,2.0,50.75,2
10600,6th Phase JP Nagar,3 BHK,1810.0,3.0,131.0,3
10601,Gunjur Palya,3 BHK,1426.0,2.0,71.0,3
10602,Sector 7 HSR Layout,3 BHK,2400.0,2.0,195.0,3
10603,Kalyan nagar,2 BHK,1100.0,2.0,70.0,2
10604,Electronic City Phase II,1 BHK,650.0,1.0,35.0,1
10605,Old Madras Road,3 BHK,1350.0,3.0,47.25,3
10606,Kaikondrahalli,2 BHK,900.0,2.0,27.0,2
10607,Billekahalli,2 BHK,1360.0,2.0,110.0,2
10608,Yeshwanthpur,1 BHK,674.0,1.0,36.85,1
10609,Whitefield,3 BHK,1655.0,3.0,110.0,3
10610,Cholanayakanahalli,2 Bedroom,1300.0,2.0,95.0,2
10611,"Panathur Road, ",1 BHK,936.0,1.0,53.0,1
10612,Kaverappa Layout,2 BHK,1277.0,2.0,92.0,2
10613,Gkvk Layout,2 BHK,1200.0,2.0,54.0,2
10614,Hormavu,2 BHK,1015.0,2.0,39.08,2
10615,Budigere,2 BHK,1153.0,2.0,60.0,2
10616,Kengeri,2 BHK,1035.0,2.0,51.5,2
10617,KR Puram,5 BHK,3300.0,3.0,255.0,5
10618,Uttarahalli,2 BHK,1150.0,2.0,46.0,2
10619,Malleshwaram,2 BHK,1020.0,2.0,80.0,2
10620,Old Madras Road,4 BHK,3715.0,6.0,212.5,4
10621,8th Phase JP Nagar,2 BHK,1160.0,2.0,95.0,2
10622,Bisuvanahalli,3 BHK,1075.0,2.0,31.0,3
10623,Brookefield,2 BHK,1225.0,2.0,72.0,2
10624,Benson Town,4 Bedroom,5000.0,5.0,950.0,4
10625,Vivek Nagar,2 Bedroom,1600.0,2.0,160.0,2
10626,Malleshwaram,2 Bedroom,600.0,1.0,90.0,2
10627,Nagappa Reddy Layout,3 BHK,1350.0,3.0,60.0,3
10628,Kanakpura Road,3 BHK,1300.0,3.0,69.0,3
10629,Channasandra,2 BHK,830.0,2.0,36.28,2
10630,Hennur Road,2 BHK,1155.0,2.0,69.18,2
10631,Sarakki Nagar,4 BHK,3126.0,5.0,345.0,4
10632,Jalahalli,2 BHK,905.0,2.0,55.0,2
10633,Vijayanagar,3 BHK,1375.0,2.0,75.0,3
10635,Electronic City,2 BHK,1140.0,2.0,33.84,2
10636,Hormavu,3 BHK,1550.0,2.0,60.0,3
10637,Kannamangala,2 BHK,957.0,2.0,55.0,2
10638,9th Phase JP Nagar,2 BHK,890.0,2.0,45.0,2
10639,KR Puram,4 BHK,3000.0,4.0,235.0,4
10640,Electronic City,2 BHK,1070.0,2.0,55.0,2
10641,Bendiganahalli,5 Bedroom,2400.0,5.0,150.0,5
10642,Domlur Layout,4 Bedroom,2400.0,4.0,595.0,4
10643,Rachenahalli,2 BHK,925.0,2.0,37.0,2
10644,Kammasandra,2 BHK,1415.0,2.0,60.0,2
10645,Mylasandra,1 Bedroom,500.0,2.0,80.0,1
10646,Thanisandra,2 BHK,1225.0,2.0,37.0,2
10647,Hennur Road,4 Bedroom,2000.0,4.0,90.0,4
10648,Whitefield,1 BHK,840.0,1.0,57.0,1
10649,Banashankari Stage III,9 Bedroom,1560.0,9.0,200.0,9
10650,Thanisandra,3 BHK,1732.0,3.0,112.0,3
10651,Parappana Agrahara,1 Bedroom,1200.0,1.0,45.0,1
10652,Bhoganhalli,2 BHK,1260.0,2.0,69.9,2
10653,Doddanakundi Industrial Area 2,2 BHK,1092.0,2.0,49.0,2
10654,Kachanayakanahalli,2 BHK,827.0,2.0,34.0,2
10655,Horamavu Banaswadi,2 BHK,1357.0,2.0,54.0,2
10656,Chamrajpet,2 BHK,650.0,1.0,40.0,2
10657,7th Phase JP Nagar,3 BHK,1370.0,2.0,54.79,3
10658,Whitefield,3 BHK,1725.0,3.0,106.0,3
10659,Jalahalli,2 BHK,1000.0,2.0,70.0,2
10660,TC Palaya,1 Bedroom,1350.0,1.0,55.0,1
10661,7th Phase JP Nagar,4 Bedroom,3200.0,4.0,350.0,4
10662,Bellandur,3 BHK,1717.0,3.0,110.0,3
10663,Kanakpura Road,2 BHK,700.0,2.0,34.0,2
10664,Shanthi Pura,2 BHK,800.0,2.0,32.0,2
10665,Rajaji Nagar,3 BHK,2367.0,4.0,340.0,3
10666,Sonnenahalli,3 BHK,1415.0,2.0,65.0,3
10667,7th Phase JP Nagar,3 BHK,1976.0,3.0,145.0,3
10668,Kambipura,2 BHK,883.0,2.0,37.01,2
10669,Yelahanka,1 BHK,700.0,1.0,38.0,1
10670,Sarjapur,3 BHK,1445.0,3.0,50.0,3
10671,Battarahalli,3 BHK,2082.0,3.0,104.0,3
10672,HSR Layout,2 BHK,1140.0,2.0,46.0,2
10673,Thanisandra,2 BHK,933.0,2.0,66.0,2
10674,NRI Layout,4 Bedroom,800.0,5.0,95.5,4
10675,Electronic City Phase II,2 BHK,1155.0,2.0,57.0,2
10676,Whitefield,2 BHK,1130.0,2.0,36.0,2
10677,Bannerghatta,2 BHK,1200.0,2.0,73.2,2
10678,Basaveshwara Nagar Yelahanka,2 BHK,1055.0,2.0,43.0,2
10679,Rajaji Nagar,3 BHK,1555.0,3.0,125.0,3
10680,Bellandur,3 BHK,1420.0,3.0,62.0,3
10681,Viviani Road,3 BHK,2214.0,3.0,350.0,3
10682,Devanahalli,1 BHK,658.0,1.0,26.91,1
10683,Bhoganhalli,2 BHK,896.9,2.0,78.74,2
10684,Giri Nagar,4 Bedroom,4000.0,3.0,750.0,4
10685,KR Puram,2 BHK,1035.0,2.0,40.0,2
10686,Whitefield,4 Bedroom,2064.0,5.0,225.0,4
10687,Keshava Nagar,3 BHK,1839.0,3.0,160.0,3
10688,Begur Road,2 BHK,1200.0,2.0,44.0,2
10689,Yelahanka New Town,1 BHK,488.0,1.0,20.0,1
10690,Banashankari Stage II,3 BHK,1200.0,2.0,198.0,3
10691,Sampangirama Nagar,5 Bedroom,2760.0,5.0,140.0,5
10692,Gunjur Palya,2 BHK,993.0,2.0,42.0,2
10693,Hoodi,2 BHK,1225.0,2.0,45.0,2
10694,TC Palaya,2 Bedroom,900.0,2.0,55.0,2
10695,Electronic City,9 Bedroom,1200.0,13.0,150.0,9
10696,Sompura,2 BHK,825.0,2.0,32.0,2
10697,Bellandur,4 BHK,3596.0,4.0,359.0,4
10698,Hosahalli Extension,6 Bedroom,1350.0,4.0,203.0,6
10699,Electronic City Phase II,3 BHK,1800.0,3.0,92.0,3
10700,Shankarapuram,2 BHK,925.0,2.0,100.0,2
10701,Kanakpura Road,2 BHK,1167.0,2.0,63.0,2
10702,Sarjapur,2 BHK,1150.0,2.0,41.0,2
10703,Byatarayanapura,1 BHK,650.0,1.0,50.0,1
10704,Sarjapur  Road,1 BHK,675.0,1.0,27.0,1
10705,Doctor Layout Rayasandra,2 Bedroom,2260.0,3.0,90.0,2
10706,Anwar Layout,1 BHK,720.0,1.0,32.39,1
10707,Whitefield,3 Bedroom,4800.0,4.0,600.0,3
10708,Yelahanka New Town,2 BHK,1100.0,2.0,58.0,2
10709,Pillanna Gardens,2 BHK,550.0,1.0,20.0,2
10710,Uttarahalli,3 BHK,1330.0,2.0,58.0,3
10711,Koramangala,2 BHK,1320.0,2.0,160.0,2
10712,Ulsoor,3 BHK,1685.0,4.0,185.0,3
10713,Ullal Uppanagar,6 BHK,2400.0,5.0,75.0,6
10714,Banashankari,3 BHK,1770.0,3.0,108.0,3
10715,Prithvi Layout,3 BHK,2100.0,3.0,125.0,3
10716,Pai Layout,2 BHK,1000.0,2.0,42.0,2
10717,Banashankari Stage VI,4 Bedroom,600.0,5.0,105.0,4
10718,Ramamurthy Nagar,4 Bedroom,2916.0,5.0,230.0,4
10719,Kanakpura Road,3 BHK,1419.59,2.0,65.0,3
10720,Kodihalli,3 BHK,1400.0,3.0,81.0,3
10721,Horamavu Agara,2 BHK,750.0,2.0,37.49,2
10722,Bannerghatta,2 BHK,1070.0,2.0,87.0,2
10723,Kannamangala,3 BHK,1536.0,3.0,107.0,3
10724,Koramangala,3 BHK,1710.0,3.0,210.0,3
10725,JP Nagar,3 BHK,2400.0,3.0,196.0,3
10727,Electronic City,2 BHK,1342.0,2.0,72.0,2
10728,Chandra Layout,3 BHK,1600.0,3.0,130.0,3
10729,Kanakapura,1 BHK,938.0,1.0,50.0,1
10730,Budigere,3 BHK,1820.0,3.0,99.0,3
10731,Bhoganhalli,4 BHK,2439.0,4.0,170.0,4
10732,Kanakpura Road,3 BHK,1665.0,3.0,78.0,3
10733,Basavangudi,3 BHK,1850.0,3.0,150.0,3
10734,Bommanahalli,2 BHK,1091.0,2.0,40.0,2
10735,Sarjapur  Road,2 BHK,1346.0,2.0,74.03,2
10736,Rajaji Nagar,3 BHK,1720.0,3.0,224.0,3
10737,Brookefield,4 Bedroom,3675.0,4.0,176.0,4
10738,JP Nagar,2 BHK,1060.0,2.0,33.95,2
10739,Whitefield,2 BHK,1059.0,2.0,57.0,2
10740,Hebbal,2 BHK,1299.0,2.0,97.0,2
10741,Yelahanka,3 BHK,1491.0,3.0,85.0,3
10742,Basaveshwara Nagar,2 BHK,1200.0,2.0,85.0,2
10743,Yelahanka,4 Bedroom,2088.0,5.0,110.0,4
10744,Hulimavu,1 BHK,581.0,1.0,29.0,1
10745, Devarabeesana Halli,2 BHK,1296.0,2.0,70.0,2
10746,Doctors Layout,2 BHK,1125.0,2.0,55.0,2
10747,Electronic City,3 BHK,1275.0,3.0,70.0,3
10748,Kothanur,2 BHK,1095.0,2.0,55.0,2
10749,Sarjapur  Road,5 Bedroom,10000.0,4.0,975.0,5
10750,Old Madras Road,2 BHK,1330.0,2.0,74.0,2
10751,Marathahalli,2 BHK,1135.0,2.0,60.0,2
10752,Whitefield,1 BHK,516.0,1.0,39.0,1
10753,Doddanakundi Industrial Area 2,2 BHK,1194.0,2.0,51.0,2
10754,Banaswadi,5 Bedroom,2250.0,5.0,240.0,5
10755,Electronic City,2 BHK,770.0,1.0,38.0,2
10756,Sarjapur  Road,4 BHK,3930.0,5.0,330.0,4
10757,Chikkalasandra,3 BHK,1355.0,3.0,54.2,3
10758,Abbigere,8 Bedroom,3000.0,8.0,150.0,8
10759,Harlur,4 BHK,2569.0,4.0,175.0,4
10760,Hebbal,4 Bedroom,3758.0,4.0,450.0,4
10761,Whitefield,2 BHK,1116.0,2.0,51.91,2
10762,Bhoganhalli,3 BHK,1707.0,3.0,115.0,3
10763,AECS LAYOUT A-BLOCK Singasandra,5 Bedroom,1200.0,5.0,225.0,5
10764,Sultan Palaya,2 BHK,1070.0,2.0,49.0,2
10765,Whitefield,4 Bedroom,6000.0,4.0,410.0,4
10766,Tumkur Road,3 BHK,1240.0,2.0,83.0,3
10767,JP Nagar,2 BHK,1300.0,2.0,91.65,2
10768,Ambalipura,2 BHK,1700.0,2.0,76.0,2
10769,Yeshwanthpur,3 BHK,1383.0,2.0,76.18,3
10770,Banashankari Stage I,5 Bedroom,3000.0,4.0,170.0,5
10771,Electronic City,2 BHK,1200.0,2.0,34.65,2
10772,Hulimavu,2 BHK,935.0,2.0,45.0,2
10773,Thigalarapalya,3 BHK,2072.0,4.0,151.0,3
10774,Ramanjaneyanagar,4 Bedroom,2200.0,3.0,225.0,4
10775,Jalahalli,1 BHK,615.0,1.0,46.0,1
10776,KR Puram,2 BHK,1116.0,2.0,45.0,2
10777,Whitefield,3 BHK,1639.0,3.0,107.0,3
10778,Marathahalli,3 BHK,1839.0,3.0,130.0,3
10779,Byatarayanapura,2 BHK,1300.0,2.0,63.0,2
10780,Horamavu Agara,1 BHK,625.0,1.0,27.0,1
10781,Thanisandra,1 BHK,933.0,1.0,61.0,1
10782,Hosur Road,3 BHK,2289.0,3.0,180.0,3
10783,Ramamurthy Nagar,3 Bedroom,2316.0,3.0,125.0,3
10784,Electronic City,2 BHK,1005.0,2.0,39.77,2
10785,Horamavu Agara,2 BHK,1080.0,2.0,38.0,2
10786,Munnekollal,7 Bedroom,1200.0,5.0,185.0,7
10787,Vishwapriya Layout,2 BHK,910.0,2.0,36.0,2
10788,Hormavu,2 Bedroom,1200.0,2.0,73.0,2
10789,Electronic City,2 BHK,1110.0,2.0,39.9,2
10790,Kothanur,2 BHK,1142.0,2.0,56.0,2
10791,2nd Stage Nagarbhavi,5 Bedroom,4000.0,4.0,240.0,5
10792,Hormavu,3 Bedroom,1800.0,3.0,204.0,3
10793,AECS Layout,2 BHK,1005.0,2.0,55.0,2
10794,3rd Block Banashankari,3 BHK,1626.6,3.0,133.0,3
10795,Kothanur,2 BHK,1074.0,2.0,54.0,2
10796,Basavangudi,2 BHK,1230.0,2.0,80.0,2
10797,Electronic City,2 BHK,660.0,1.0,23.0,2
10798,Coconut Grove Layout,2 BHK,1007.0,2.0,48.0,2
10799,2nd Block Hrbr Layout,4 Bedroom,1050.0,6.0,74.0,4
10800,Whitefield,3 BHK,1820.0,3.0,113.0,3
10801,Basapura,2 BHK,1100.0,2.0,60.0,2
10802,Anjappa Layout,2 Bedroom,1348.0,2.0,100.0,2
10803,Kasavanhalli,2 BHK,1230.0,2.0,66.25,2
10804,Horamavu Agara,3 BHK,1176.0,2.0,37.62,3
10805,Uttarahalli,3 BHK,1590.0,3.0,57.0,3
10806,Frazer Town,2 BHK,1200.0,2.0,78.0,2
10807,"Off Sarjapur Road, ",2 BHK,1298.0,2.0,65.0,2
10808,Hosa Road,2 BHK,1161.0,2.0,55.15,2
10809,Himagiri Meadows,4 Bedroom,1350.0,4.0,175.0,4
10810,4th Block HBR Layout,5 Bedroom,1200.0,5.0,138.0,5
10811,Kothanur,2 BHK,1285.0,2.0,60.0,2
10812,Electronic City,3 BHK,1644.0,3.0,92.59,3
10813,Kasavanhalli,3 BHK,1819.0,3.0,150.0,3
10814,1st Phase JP Nagar,2 BHK,1205.0,2.0,85.0,2
10815,Basavangudi,3 BHK,2350.0,3.0,300.0,3
10816,Uttarahalli,2 BHK,1050.0,2.0,42.0,2
10817,Raja Rajeshwari Nagar,2 BHK,1270.0,2.0,62.0,2
10818,9th Phase JP Nagar,3 BHK,1240.0,2.0,39.89,3
10819,Jigani,3 BHK,1221.0,3.0,70.0,3
10820,Hoysalanagar,3 BHK,840.0,2.0,35.0,3
10821,Kanakpura Road,2 BHK,1339.0,2.0,63.0,2
10822,Thigalarapalya,4 BHK,4303.0,5.0,300.0,4
10823,Haralur Road,2 BHK,1315.0,2.0,85.0,2
10824,Raja Rajeshwari Nagar,2 BHK,1250.0,2.0,68.0,2
10825,Bisuvanahalli,2 BHK,850.0,2.0,27.0,2
10826,7th Phase JP Nagar,3 BHK,1600.0,2.0,110.0,3
10827,Electronic City,2 BHK,1250.0,2.0,62.0,2
10828,Motappa Layout,3 BHK,1312.0,2.0,56.5,3
10829,Kadugodi,4 BHK,3000.0,4.0,134.0,4
10830,Electronic City Phase II,2 BHK,1300.0,2.0,28.0,2
10831,Whitefield,3 BHK,1990.0,3.0,98.0,3
10832,Medahalli,2 BHK,760.0,2.0,38.5,2
10833,Ambedkar Nagar,4 Bedroom,5000.0,4.0,536.0,4
10834,Kadugodi,3 BHK,1614.0,2.0,59.0,3
10835,Judicial Layout,4 Bedroom,1500.0,3.0,162.0,4
10836,Basava Nagar,3 BHK,1182.0,2.0,60.1,3
10837,Avalahalli,2 BHK,1053.0,2.0,46.29,2
10838,6th Phase JP Nagar,1 BHK,750.0,1.0,105.0,1
10839,Gubbalala,3 BHK,2000.0,3.0,125.0,3
10840,Electronic City Phase II,3 BHK,1940.0,4.0,116.0,3
10841,Hennur Road,3 BHK,1590.0,3.0,105.0,3
10842,Chennammana Kere,2 BHK,1035.0,2.0,52.79,2
10843,Kothanur,2 BHK,1075.0,2.0,53.0,2
10844,TC Palaya,2 Bedroom,900.0,2.0,55.0,2
10845,Raja Rajeshwari Nagar,3 BHK,1260.0,2.0,62.0,3
10846,Prashanth Nagar,6 Bedroom,1200.0,5.0,260.0,6
10847,Thanisandra,3 BHK,1702.0,3.0,107.0,3
10848,Bisuvanahalli,3 BHK,1080.0,2.0,65.0,3
10849,Kasavanhalli,2 BHK,1189.0,2.0,45.0,2
10850,Tumkur Road,2 BHK,1035.0,2.0,39.0,2
10851,Hennur Road,2 BHK,1200.0,2.0,36.0,2
10852,Mahalakshmi Layout,8 Bedroom,4482.0,6.0,852.0,8
10853,Michael Palaya,3 Bedroom,1200.0,3.0,200.0,3
10854,Kanakpura Road,3 BHK,1300.0,3.0,69.0,3
10855,Yelahanka,2 BHK,1330.0,2.0,93.65,2
10856,Kaggalipura,3 BHK,1210.0,2.0,65.0,3
10857,Chikkalasandra,3 BHK,1350.0,2.0,54.2,3
10858,Kaval Byrasandra,3 BHK,1900.0,2.0,65.0,3
10859,Ambedkar Nagar,3 BHK,1935.0,4.0,125.0,3
10860,Doddanakundi Industrial Area 2,3 BHK,1410.0,3.0,90.0,3
10861,Narayanapura,2 BHK,1469.0,2.0,99.14,2
10862,Varthur,2 BHK,986.0,2.0,30.0,2
10863,RBI Layout,3 BHK,1460.0,2.0,87.0,3
10864,Chandra Layout,3 BHK,1260.0,2.0,85.05,3
10865,Chandapura,3 BHK,1345.0,2.0,39.5,3
10866,Panathur,2 BHK,980.0,2.0,57.0,2
10867,Kudlu Gate,2 BHK,1164.0,2.0,75.0,2
10868,Subramanyapura,2 BHK,929.0,1.0,51.0,2
10869,Kundalahalli,2 BHK,1065.0,2.0,70.0,2
10870,Budigere,2 BHK,1172.0,2.0,56.725,2
10871,Lakshmiamma Garden,3 BHK,3000.0,3.0,265.0,3
10872,Electronic City,2 BHK,1020.0,2.0,30.27,2
10873,Gunjur,3 BHK,1362.0,3.0,62.63,3
10874,Yeshwanthpur,1 BHK,672.0,1.0,36.85,1
10875,Brookefield,3 BHK,1746.0,3.0,115.0,3
10876,Electronic City,2 BHK,1025.0,2.0,29.6,2
10877,Harlur,2 BHK,1532.0,2.0,65.0,2
10878,Guni Agrahara,3 BHK,1200.0,2.0,120.0,3
10879,Ganga Nagar,2 BHK,1250.0,2.0,65.0,2
10880,Thanisandra,2 BHK,1188.0,2.0,39.0,2
10881,Whitefield,4 Bedroom,3565.0,4.0,218.0,4
10882,Marathahalli,2 BHK,1170.0,2.0,85.0,2
10883,BEL Road,3 BHK,1800.0,3.0,150.0,3
10884,Madavara,2 Bedroom,1000.0,2.0,35.0,2
10885,Cooke Town,3 Bedroom,2600.0,3.0,375.0,3
10886,Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5
10887,Kasturi Nagar,4 BHK,2507.0,4.0,155.0,4
10888,Babusapalaya,2 BHK,1061.0,2.0,34.0,2
10889,KR Puram,2 BHK,1290.0,2.0,69.0,2
10890,Sarjapur,2 BHK,1200.0,2.0,42.6,2
10891,Bharathi Nagar,2 BHK,1120.0,2.0,39.29,2
10892,Electronic City,1 BHK,418.0,1.0,12.0,1
10893,Sarjapur,3 BHK,1333.0,3.0,50.0,3
10894,Sarjapur  Road,3 BHK,1691.0,3.0,119.0,3
10895,Thanisandra,1 BHK,747.0,1.0,34.355,1
10896,Koramangala,3 BHK,1700.0,3.0,250.0,3
10897,Thanisandra,3 BHK,2030.0,4.0,125.0,3
10898,Balagere,2 BHK,1012.0,2.0,70.0,2
10899,Kudlu,3 BHK,1245.0,2.0,60.0,3
10900,7th Phase JP Nagar,3 BHK,1765.0,3.0,118.0,3
10901,Gottigere,2 BHK,1110.0,2.0,36.25,2
10902,Akash Nagar,2 BHK,967.0,2.0,47.8,2
10903,Sarjapur,2 BHK,1044.0,2.0,36.0,2
10904,Brookefield,3 BHK,1518.0,3.0,80.0,3
10905,KR Puram,3 BHK,1300.0,2.0,57.0,3
10906,Seetharampalya,3 BHK,1798.0,3.0,73.0,3
10907,KR Puram,2 BHK,866.28,2.0,36.38,2
10908,Whitefield,4 BHK,3410.0,5.0,253.0,4
10909,Singasandra,2 BHK,1179.0,2.0,56.0,2
10910,Rajaji Nagar,5 BHK,3600.0,5.0,510.0,5
10911,Uttarahalli,2 BHK,1125.0,2.0,48.0,2
10912,Cambridge Layout,3 BHK,2098.0,3.0,210.0,3
10913,3rd Phase JP Nagar,3 BHK,2400.0,3.0,270.0,3
10914,Haralur Road,3 BHK,1976.0,3.0,92.0,3
10915,5th Phase JP Nagar,2 BHK,1190.0,2.0,61.8,2
10916,cooketown,3 BHK,1800.0,3.0,192.0,3
10917,Jakkur,3 BHK,1761.0,3.0,84.52,3
10918,Cooke Town,3 BHK,1700.0,3.0,120.0,3
10919,Ramamurthy Nagar,4 Bedroom,900.0,4.0,70.0,4
10920,Electronic City,2 BHK,1128.0,2.0,64.8,2
10921,5th Stage BEML Layout,3 BHK,2000.0,3.0,85.0,3
10922,Electronic City,3 BHK,1220.0,2.0,35.25,3
10923,Shauhardha Layout,1 BHK,509.0,1.0,20.0,1
10924,Ambedkar Nagar,3 BHK,1852.0,4.0,122.0,3
10925,Varthur,2 BHK,1045.0,2.0,40.65,2
10926,Kaverappa Layout,4 BHK,3535.0,4.0,215.0,4
10927,Marathahalli,2 BHK,1102.0,2.0,53.67,2
10928,Omkar Nagar,4 BHK,1800.0,3.0,82.0,4
10929,Hebbal Kempapura,3 BHK,1436.0,2.0,75.0,3
10930,Chikkadunnasandra,3 BHK,1397.0,2.0,52.0,3
10931,Kothanur,2 BHK,1140.0,2.0,56.0,2
10932,Balagere,1 BHK,645.0,1.0,55.0,1
10933,Bank Of Baroda Colony,5 Bedroom,2350.0,5.0,325.0,5
10934,Nagarbhavi,3 Bedroom,1200.0,3.0,225.0,3
10935,Bhoopsandra,3 BHK,2050.0,3.0,135.0,3
10936,Sarjapur  Road,2 BHK,1335.0,2.0,95.0,2
10937,Thirumenahalli,2 Bedroom,2100.0,1.0,200.0,2
10938,Hebbal,3 BHK,1255.0,3.0,77.68,3
10939,Thanisandra,2 BHK,1140.0,2.0,59.0,2
10940,Hosakerehalli,3 BHK,2376.0,3.0,240.0,3
10941,Thanisandra,1 BHK,663.0,1.0,46.0,1
10942,Victoria Layout,2 BHK,1276.0,2.0,146.0,2
10943,Kanakpura Road,3 BHK,1450.0,3.0,60.9,3
10944,Kodichikkanahalli,3 BHK,1400.0,3.0,66.0,3
10945,Divya Unnathi Layout,2 BHK,1339.0,2.0,53.56,2
10946,Electronic City,3 BHK,1220.0,2.0,35.23,3
10947,Malleshwaram,3 BHK,2200.0,3.0,275.0,3
10948,Harohalli,2 BHK,1305.0,2.0,52.0,2
10949,Green Glen Layout,3 BHK,1740.0,3.0,80.0,3
10950,Anekal,2 BHK,680.0,1.0,21.0,2
10951,Bannerghatta Road,2 BHK,1154.0,2.0,47.0,2
10952,Munnekollal,2 BHK,1200.0,2.0,40.0,2
10953,Hennur,2 BHK,1155.0,2.0,54.5,2
10954,Sarjapur  Road,3 BHK,1525.0,2.0,63.0,3
10955,Giri Nagar,1 Bedroom,600.0,1.0,125.0,1
10956,Hebbal,4 BHK,2470.0,5.0,192.0,4
10957,Padmanabhanagar,2 BHK,1100.0,2.0,60.0,2
10958,Hormavu,2 BHK,1250.0,2.0,65.0,2
10959,Kothanur,2 BHK,1400.0,2.0,70.0,2
10960,Ittamadu,3 BHK,1600.0,3.0,100.0,3
10961,Electronic City,2 BHK,1060.0,2.0,55.0,2
10962,Horamavu Banaswadi,2 BHK,1272.0,2.0,50.0,2
10963,Kanakpura Road,2 BHK,1296.0,2.0,105.0,2
10964,Dollars Colony,4 BHK,2100.0,3.0,280.0,4
10965,Karuna Nagar,3 BHK,1945.0,3.0,115.0,3
10966,Chandapura,3 BHK,1033.0,2.0,30.47,3
10967,Stage-4 Bommanahalli,3 BHK,2300.0,2.0,69.0,3
10968,Gunjur Palya,2 BHK,1235.0,2.0,52.76,2
10969,3rd Block Koramangala,3 BHK,2100.0,3.0,270.0,3
10970,2nd Phase JP Nagar,2 BHK,850.0,2.0,42.5,2
10971,Subramanyapura,3 BHK,1880.0,3.0,110.0,3
10972,1st Block Jayanagar,4 BHK,2450.0,4.0,368.0,4
10973,Kenchenahalli,2 BHK,1060.0,2.0,52.0,2
10974,Hennur Road,3 BHK,2041.0,3.0,138.0,3
10975,Hulimavu,2 Bedroom,1050.0,2.0,125.0,2
10976,Vasanthapura,2 BHK,1037.0,2.0,36.28,2
10977,"Electronic city phase 1, ",2 BHK,1150.0,2.0,39.0,2
10978,LB Shastri Nagar,2 BHK,1184.0,2.0,62.0,2
10979,Sarjapur  Road,3 BHK,1680.0,3.0,126.0,3
10980,Thanisandra,3 BHK,1411.0,3.0,100.0,3
10981,Hosa Road,5 Bedroom,900.0,5.0,55.0,5
10982,Kanakpura Road,2 BHK,900.0,2.0,41.0,2
10983,Jakkur Plantation,4 BHK,3500.0,4.0,320.0,4
10984,Thanisandra,3 BHK,1702.0,3.0,120.0,3
10985,Yelahanka,2 BHK,1185.0,2.0,45.0,2
10986,Kanakpura Road,3 BHK,1300.0,3.0,64.0,3
10987,Lavakusha Nagar,3 BHK,1545.0,3.0,65.0,3
10988,6th Phase JP Nagar,3 BHK,1515.0,2.0,135.0,3
10989,Jigani,3 BHK,1300.0,3.0,55.0,3
10990,JP Nagar,2 BHK,1107.0,2.0,57.0,2
10991,Old Madras Road,3 BHK,1720.0,3.0,106.0,3
10992,Kuvempu Nagar,3 BHK,1540.0,3.0,150.0,3
10993,Bannerghatta Road,2 BHK,1000.0,2.0,44.5,2
10994,Electronic City,1 BHK,710.0,1.0,40.42,1
10995,Thanisandra,2 BHK,1100.0,2.0,38.0,2
10996,Sri Balaji Krupa Layout,4 Bedroom,3200.0,4.0,270.0,4
10997,Domlur Layout,2 Bedroom,900.0,2.0,160.0,2
10998,Bannerghatta Road,2 BHK,1250.0,2.0,48.0,2
10999,Kaggadasapura,5 Bedroom,2400.0,4.0,130.0,5
11000,Hegde Nagar,3 BHK,1584.01,3.0,104.0,3
11001,Vasanth nagar,4 Bedroom,875.0,4.0,150.0,4
11002,Kammasandra,4 Bedroom,1200.0,6.0,60.0,4
11003,Kaggadasapura,3 BHK,1485.0,2.0,70.0,3
11004,Hennur Road,3 BHK,1100.0,2.0,78.0,3
11005,8th Phase JP Nagar,2 BHK,1245.0,2.0,59.0,2
11006,Hennur Road,4 Bedroom,1880.0,4.0,154.0,4
11007,Frazer Town,3 BHK,2214.0,3.0,350.0,3
11008,Anathanagar,2 BHK,1050.0,2.0,45.0,2
11009,Vishveshwarya Layout,4 Bedroom,600.0,4.0,95.0,4
11010,Bannerghatta Road,3 BHK,1640.0,3.0,105.0,3
11011,Basavanapura,2 BHK,1165.0,2.0,65.0,2
11012,Kengeri Satellite Town,2 BHK,1110.0,2.0,43.0,2
11013,vinayakanagar,7 BHK,1200.0,5.0,200.0,7
11014,St. John's Road,4 BHK,4000.0,4.0,630.0,4
11015,Uttarahalli,4 Bedroom,4500.0,4.0,150.0,4
11016,Jaraganahalli Jp Nagar Post,4 Bedroom,600.0,4.0,65.0,4
11017,Haralur Road,2 BHK,1300.0,2.0,75.0,2
11018,adigondanhalli,2 Bedroom,1200.0,1.0,42.0,2
11020,Hennur Road,2 BHK,1232.0,2.0,69.61,2
11021,Jalahalli,3 BHK,1704.0,3.0,94.36,3
11022,7th Phase JP Nagar,3 BHK,1275.0,2.0,88.0,3
11023,Sarjapur  Road,3 BHK,1222.0,2.0,68.0,3
11024,Varthur,2 BHK,1155.0,2.0,39.0,2
11025,Electronic City,2 BHK,1000.0,2.0,29.95,2
11026,Horamavu Banaswadi,2 BHK,1200.0,2.0,45.0,2
11027,Yelahanka,3 BHK,1517.0,3.0,71.28,3
11028,Horamavu Agara,2 BHK,1166.0,2.0,37.29,2
11029,Electronic City,2 BHK,870.0,2.0,24.0,2
